 (1.144969820976257324e+00+0.000000000000000000e+00j)  (3.378133706386014529e-03+4.821569356891492863e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.393627284286722999e-03+-3.337858713837046302e-04j)
 (1.110171914100646973e+00+0.000000000000000000e+00j)  (3.335246665034493230e-03+5.039381893869956681e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.385703856653963976e-03+-3.141140009018585522e-04j)
 (1.077613115310668945e+00+0.000000000000000000e+00j)  (3.292418730527466291e-03+5.241440113410749313e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.380903762733370118e-03+-2.963943641826238991e-04j)
 (1.047187089920043945e+00+0.000000000000000000e+00j)  (3.249645047354482973e-03+5.428353318868602007e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.377129067771086426e-03+-2.724629858522553618e-04j)
 (1.018793940544128418e+00+0.000000000000000000e+00j)  (3.206899111272270078e-03+5.599246522877513203e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.371176128574508454e-03+-2.543227746700432506e-04j)
 (9.923343062400817871e-01+0.000000000000000000e+00j)  (3.164236371843279216e-03+5.754883634032674153e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.366364130196513196e-03+-2.327103680895018715e-04j)
 (9.677192568778991699e-01+0.000000000000000000e+00j)  (3.121661328868089846e-03+5.895148968626133306e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.359670127616337092e-03+-2.110452223363370951e-04j)
 (9.448593258857727051e-01+0.000000000000000000e+00j)  (3.079219134470103682e-03+6.020064065003663360e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.355692336071148045e-03+-1.887187668218641629e-04j)
 (9.236699938774108887e-01+0.000000000000000000e+00j)  (3.036918376680035683e-03+6.129719150360456561e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.347944568827635177e-03+-1.694293519778429155e-04j)
 (9.040669202804565430e-01+0.000000000000000000e+00j)  (2.994829707426433039e-03+6.224470612215545580e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.343409130527342676e-03+-1.484815011467999516e-04j)
 (8.859695196151733398e-01+0.000000000000000000e+00j)  (2.952981378251382828e-03+6.304583689984054806e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.337107669706635990e-03+-1.270359404863973440e-04j)
 (8.693003654479980469e-01+0.000000000000000000e+00j)  (2.911386885874639452e-03+6.370120352994031090e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.326662784044255238e-03+-1.082750297652132325e-04j)
 (8.539802432060241699e-01+0.000000000000000000e+00j)  (2.870158738969852581e-03+6.421741335269240229e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.319436206318200158e-03+-8.793869906202951981e-05j)
 (8.399357795715332031e-01+0.000000000000000000e+00j)  (2.829307063047843945e-03+6.459582001549390344e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.309222234105934368e-03+-6.859900218709887542e-05j)
 (8.270941972732543945e-01+0.000000000000000000e+00j)  (2.788896925931000186e-03+6.484074172482229932e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.299732512023406153e-03+-5.078615389539269738e-05j)
 (8.153819441795349121e-01+0.000000000000000000e+00j)  (2.749007343172333358e-03+6.495922422931354762e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.293150271765206548e-03+-2.987717998659142216e-05j)
 (8.047309517860412598e-01+0.000000000000000000e+00j)  (2.709620050026852710e-03+6.495256429710650342e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.280063502197916186e-03+-1.394201691373088645e-05j)
 (7.950715422630310059e-01+0.000000000000000000e+00j)  (2.670846861837489986e-03+6.482933960198092663e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.268110069319043588e-03+3.969175864225805169e-06j)
 (7.863405346870422363e-01+0.000000000000000000e+00j)  (2.632733546898971804e-03+6.459395040355492973e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.257386378883546593e-03+2.093972215422415978e-05j)
 (7.784714698791503906e-01+0.000000000000000000e+00j)  (2.595301627441376578e-03+6.425322656770313936e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.244454242982935511e-03+3.737611236763753626e-05j)
 (7.714035511016845703e-01+0.000000000000000000e+00j)  (2.558609011016542596e-03+6.381206213501223372e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.230772031717457639e-03+5.232050073415862580e-05j)
